id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
team,Netherlands,Senegal,Ecuador,Qatar,England,United States,Iran,Wales,Argentina,Poland,Mexico,Saudi Arabia,France,Australia,Tunisia,Denmark,Japan,Spain,Germany,Costa Rica,Morocco,Croatia,Belgium,Canada,Brazil,Switzerland,Cameroon,Serbia,Portugal,Korea Republic,Uruguay,Ghana
matches_played,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
wins,2,2,1,0,2,1,1,0,2,1,1,1,2,2,1,0,2,1,1,1,2,1,1,0,2,2,1,0,2,1,1,1
draws,1,0,1,0,1,2,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,2,1,0,0,0,1,1,0,1,1,0
losses,0,1,1,3,0,0,2,2,1,1,1,2,1,1,1,2,1,1,1,2,0,0,1,3,1,1,1,2,1,1,1,2
goals_scored,5,5,4,1,9,2,4,1,5,2,2,3,6,3,1,1,4,9,6,3,4,4,1,2,3,4,4,5,6,4,2,5
goals_against,1,4,3,7,2,1,7,6,2,2,3,5,3,4,1,3,3,3,5,11,1,1,2,7,1,3,4,8,4,4,2,7
goal_difference,4,1,1,-6,7,1,-3,-5,3,0,-1,-2,3,-1,0,-2,1,6,1,-8,3,3,-1,-5,2,1,0,-3,2,0,0,-2
points,7,6,4,0,7,5,3,1,6,4,4,3,6,6,4,1,6,4,4,3,7,5,4,0,6,6,4,1,6,4,4,3
expected_goal_scored,2.4,3.8,3.7,1.4,5.2,2.6,3.2,2.7,6,2.8,3.3,3,7.2,1.7,2.3,2.7,3.8,5.2,10.1,1.4,2.4,3.8,4.7,4.2,5.9,4.4,3.4,3.4,4.6,4.1,3.7,4.1
exp_goal_conceded,2.7,2.5,2.6,3.5,2.3,2.7,4.2,4.6,0.7,5.9,2.4,6,1.6,5.6,2.8,3.9,4.2,2.7,3.4,10.1,2.8,3.8,4.6,3.9,0.9,3.1,5.8,7.3,3.9,3.5,3.5,5.6
exp_goal_difference,-0.3,1.3,1.2,-2.1,2.9,-0.1,-0.9,-1.9,5.2,-3.1,0.9,-3,5.5,-3.9,-0.5,-1.2,-0.4,2.5,6.7,-8.7,-0.5,0,0.2,0.3,4.9,1.4,-2.3,-3.9,0.7,0.6,0.1,-1.4
exp_goal_difference_per_90,-0.11,0.43,0.39,-0.71,0.97,-0.03,-0.32,-0.63,1.74,-1.04,0.3,-1.01,1.85,-1.29,-0.17,-0.39,-0.14,0.82,2.22,-2.9,-0.15,-0.01,0.05,0.11,1.65,0.45,-0.78,-1.32,0.24,0.19,0.05,-0.48
